;name;point
243;1653 Co Hwy 30a W 3121;(30.339437, -86.193035, 0.0)
244;Highway 143;(32.67733, -92.202286, 0.0)
245;757 Hwy 113;(30.994746, -92.629334, 0.0)
246;45 Morean Po Box 200;(39.397314, -89.807069, 0.0)
247;1 Lyell Highway;(-42.749948, 147.224381, 0.0)
248;173 East 3rd Street;(30.043597, -90.559776, 0.0)
249;7030 La Costa Lane;(38.689478, -121.300289, 0.0)
250;749 749 Old Charleston Highway;(32.320485, -81.113087, 0.0)
251;Laos;(18.0, 105.0, 0.0)
252;28666 Hwy 16;(30.646877, -89.919132, 0.0)
253;872 Napoleon Avenue;(30.411294, -92.064334, 0.0)
254;800 First Parish Road;(42.190952, -70.795364, 0.0)
255;Beauregard Volunteer Fire Protection District 4 Three Pine Station;(30.85471, -93.20954, 0.0)
256;125 Main Street;(29.906926, -91.658933, 0.0)
257;10187 East Main Street;(29.576325, -90.656826, 0.0)
258;Laos;(19.43535, 102.560667, 0.0)
259;9793 LA 44;(30.0723394, -90.8932735, 0.0)
260;100 East Hardtner Drive;(31.862353, -92.2931, 0.0)
261;2433 Hwy 18;(30.006196, -90.731793, 0.0)
262;North Leon Drive & Roland;(29.708053, -90.487694, 0.0)
263;Industrial Road & Industrial Park Road;(30.714995, -92.265547, 0.0)
264;Laos;(18.0, 105.0, 0.0)
265;1201 Horridge Street;(30.192674, -93.58132, 0.0)
266;Ward Four Fire Protection District;(32.23907, -92.60855, 0.0)
267;;
268;213 Highway 505;(32.24024, -92.607226, 0.0)
269;Laos;(18.0, 105.0, 0.0)
270;Evangeline Parish Ward 5 Fire Protection District;(30.87449, -92.41508, 0.0)
271;;
272;;
273;43139 C E Stafford Road;(30.7132061, -90.1780034, 0.0)
274;201 West South Street;(37.542805, -94.707437, 0.0)
275;677 Avenue H;(29.903022, -90.140905, 0.0)
276;677 Avenue H;(29.903022, -90.140905, 0.0)
277;18370 Hwy. 10;(30.890497, -90.873648, 0.0)
278;4040 Hwy 90;(29.912098, -90.227338, 0.0)
279;12700 Highway 39;(29.644333, -89.92874, 0.0)
