name;latitude;longitude
Gueydan Fire Chief's Offic,414 Main St, Gueydan, 7054, LA;30.025761;-92.509352
Hammond Fire Dep,405 S Oak St, Hammond, 7040, LA;30.502819;-90.462012
Hammond Fire Prevention Burea,2975 E Thomas St, Hammond, 7040, LA;30.438551;-90.538781
Henderson Nina Fire Statio,1008 Nina Hwy, Henderson, 7051, LA;30.280659;-91.907344
Hillsdale Fire Dep,3313 Highway 1045, Amite, 7042, LA;30.729758;-90.564646
Hornbeck Fire Towe,168 Powell Rd, Hornbeck, 7143, LA;31.080221;-93.256116
Houma Fire Dep,600 Wood St, Houma, 7036, LA;29.606641;-90.72659
Husser Fire Dep,56292 Highway 445, Husser, 7044, LA;30.692929;-90.350686
Iberia Parish Fire Protectio,2309 Avery Island Rd, New Iberia, 7056, LA;30.00354;-91.81873
Independence Fire Dep,113 Calhoun St, Independence, 7044, LA;30.6351;-90.49816
Independence Fire Station ,100 Calhoum St, Independence, 7044, LA;30.449387;-90.178334
Indian Bayou Community Fir,4723 La Highway 700, Kaplan, 7054, LA;30.449387;-90.178334
Innis Fire Dep,8874 La Highway 418, Innis, 7074, LA;30.888359;-91.669665
Iota Fire Departmen,210 S 1st St, Iota, 7054, LA;30.332884;-92.496298
Iota Fire Dep,116 Duson Ave, Iota, 7054, LA;30.330478;-92.493428
Ivan Fire District ,16038 3 Highway 157, Plain Dealing, 7106, LA;32.814484;-93.628974
Jamestown Fire Dep,PO Box 5128, Jamestown, 7104, LA;32.997543;-93.466552
Jeanerette City Office,1437 Main St, Jeanerette, 7054, LA;29.888489;-91.613967
Jeanerette Fire Dep,1436 Church St, Jeanerette, 7054, LA;29.910172;-91.664228
Jeff Davis Fire Dep,5396 Pine Island Hwy, Jennings, 7054, LA;30.221729;-92.652679
Jena Fire Dep,Highway 84, Jena, 7134, LA;31.60603;-92.140733
Kaplan Fire Dep,501 N Cushing Ave, Kaplan, 7054, LA;29.99839;-92.2854
Kinder Fire Dep,808 2nd Ave, Kinder, 7064, LA;30.474399;-92.843183
La Place Volunteer Fire Dep,521 Hemlock St, LaPlace, 7006, LA;30.061011;-90.498458
Labadieville Volunteer Fir,2709 Highway 1, Labadieville, 7037, LA;29.835856;-90.955903
Lacombe Fire Dep,60267 S 8th St, Lacombe, 7044, LA;30.310897;-89.939173
Lafayette Fire Chie,300 E Vermilion St, Lafayette, 7050, LA;30.230542;-92.020811
Lafayette Fire Communication,300 E Vermilion St, Lafayette, 7050, LA;30.231986;-92.020828
Lafayette Fire Dep,300 E Vermilion St, Lafayette, 7050, LA;30.231986;-92.020828
Lafayette Fire Preventio,142 Park Ave, Lafayette, 7050, LA;30.230583;-92.007809
Lafayette Fire Training Ct,1307 Bertrand Dr, Lafayette, 7050, LA;30.230583;-92.007809
Lafitte-Barataria Vol Fir,Highway 45 #493, Lafitte, 7006, LA;29.672922;-90.106215
Lafourche Crossing 308 Fir,691 Highway 308, Thibodaux, 7030, LA;29.79576;-90.82287
Lafourche Fire District 1 Vol,102 Saint Philip St, Raceland, 7039, LA;29.693939;-90.575492
Lafourche Fire Distric,N Leon Dr, Lockport, 7037, LA;29.64605;-90.53925
Lake Cove Fire Dep,Lake Cove Community NW, Turkey Creek, 7058, LA;30.917099;-92.451831
Larose Volunteer Fire Dep,17462 W Main St, Cut Off, 7034, LA;29.56719;-90.371528
Larose Volunteer Fire Dep,17462 W Main St, Galliano, 7035, LA;29.45453;-90.30609
Lawtell Fire Dep,Airport Rd, Opelousas, 7057, LA;30.537181;-92.083495
Le Bleu Settlement Fire Dep,6443 Highway 3059, Lake Charles, 7061, LA;30.276018;-93.129939
Lee Road Volunteer Fire Dep,79029 Highway 437, Covington, 7043, LA;30.484321;-90.096018
Leesville City Fire Dep,101 W Lee St, Leesville, 7144, LA;31.222614;-93.21705
Leleux Fire Statio,5801 Highway 13, Crowley, 7052, LA;30.22119;-92.378804
Leonville Volunteer Fire Dep,3726 Highway 31, Leonville, 7055, LA;30.465988;-91.951062
Little Caillou Fire Dep,4588 Highway 56, Chauvin, 7034, LA;29.533904;-90.610511
Little Chapel Volunteer Fir,13007 La Highway 3093, Kaplan, 7054, LA;30.042855;-92.183265
Livingston Parish Fire Prtct,29778 S Montpelier Rd, Albany, 7071, LA;30.49934;-90.582669
Livonia Fire Dep,3496 La Highway 78, Livonia, 7075, LA;30.55908;-91.55594
Lockport Volunteer Fire Dep,806 Crescent Ave, Lockport, 7037, LA;29.64605;-90.53925
Loranger Volunteer Fire Dep,20032 Firehouse Rd, Loranger, 7044, LA;30.631361;-90.40759
Loreauville Volunteer Fir,119 Bridge, Loreauville, 7055, LA;30.008963;-91.737329
Lowery Fire Statio,460 Lowry Hwy, Lake Arthur, 7054, LA;30.08076;-92.67153
Luling Volunteer Fire Dep,67 Saint Anthony St, Luling, 7007, LA;29.93462;-90.364235
Lydia Volunteer Fire Dep,7209 Weeks Island Rd, New Iberia, 7056, LA;30.00354;-91.81873
Lyons Point Fire Departmen,2014 S La Hwy 13, Crowley, 7052, LA;30.212297;-92.3632
Madisonville Fire Dep,402 Cedar St, Madisonville, 7044, LA;30.406279;-90.159109
Mamou Fire Dep,121 Main St, Mamou, 7055, LA;30.630097;-92.423073
Mandeville Fire Dep,3101 E Causeway Approach, Mandeville, 7044, LA;30.381477;-90.099643
Mansura Fire Dep,1832 Leglise St, Mansura, 7135, LA;31.068576;-92.050786
Maringouin Fire Dep,10660 2nd St, Maringouin, 7075, LA;30.527159;-91.525086
Marion Fire Dep,398 Main St, Marion, 7126, LA;32.905889;-92.231759
Marlow Volunteer Fire Dep,118 Marlow Rd, Pitkin, 7065, LA;30.961192;-93.112287
Marrero-Harvey Volunteer Fir,531 Avenue C, Marrero, 7007, LA;29.898819;-90.104751
Maurepas Fire Dep,24564 Highway 22, Maurepas, 7044, LA;30.261359;-90.633179
Maurice Volunteer Fire Dep,510 Chief H Fred Ave, Maurice, 7055, LA;30.103157;-92.127224
Meaux Nunez Volunteer Fir,9124 Romules Rd, Abbeville, 7051, LA;29.962049;-92.136138
Mire Volunteer Fire Dep,5248 Mire Hwy, Duson, 7052, LA;30.237218;-92.026144
Montegut Fire Dept District ,1105 Highway 55, Montegut, 7037, LA;30.237218;-92.026144
Montegut Fire Dep,632 Highway 665, Montegut, 7037, LA;29.476982;-90.552833
Montegut-Point-Aux-Chenes Fir,1105 Highway 55, Montegut, 7037, LA;29.476982;-90.552833
Moreauville Fire Dep,328 Main St, Moreauville, 7135, LA;31.034649;-91.976379
Morgan City Fire Chief's Of,1307 Victor Ii Blvd, Morgan City, 7038, LA;29.66253;-91.12144
Morgan City Fire Dep,1307 Victor Ii Blvd, Morgan City, 7038, LA;29.66253;-91.12144
Municipal Training Academ,401 City Park Ave, New Orleans, 7011, LA;29.934704;-90.213447
Natalbany Volunteer Fire Dep,15146 Fire Station Rd, Natalbany, 7045, LA;30.544702;-90.491419
New Iberia Fire Dep,225 Prairie Ave, New Iberia, 7056, LA;30.544702;-90.491419
New Orleans Fire Dep,1700 Moss St, New Orleans, 7011, LA;30.00354;-91.81873
New Orleans Fire Dep,317 Decatur St, New Orleans, 7013, LA;29.95465;-90.07507
New Orleans Fire Dep,701 Rosedale Dr, New Orleans, 7012, LA;29.963724;-90.072166
New Orleans Fire Training Aca,13400 Old Gentilly Rd, New Orleans, 7012, LA;29.963724;-90.072166
Nine Mile Point Volunteer Fir,1024 Oak Ave, Bridge City, 7009, LA;29.947782;-90.151809
Norco Area Volunteer Fire Dep,River Rd, LaPlace, 7006, LA;30.076045;-90.528281
Oak Grove Fire Dep,1523 Oak Grove Hwy, Creole, 7063, LA;29.786002;-93.113511
Oak Grove Fire Statio,589 Stanford Rd, Oak Grove, 7126, LA;32.889722;-91.358286
Oak Hill Fire Dep,PO Box 593, Glenmora, 7143, LA;31.106942;-92.713031
Oak Park Fire Statio,52 Oak Park Dr, Madisonville, 7044, LA;30.433406;-90.208954
Oakdale Fire Dep,115 N 10th St, Oakdale, 7146, LA;30.807665;-92.645739
Olla Fire Dep,US Highway 165, Olla, 7146, LA;31.901027;-92.229599
Opelousas Fire Chie,1357 S Union St, Opelousas, 7057, LA;30.485177;-92.101952
Paincourtville Volenteer Fir,6074 Highway 1, Paincourtville, 7039, LA;29.992459;-91.055045
Parks Fire Dept-Offic,Bridge, St Martinville, 7058, LA;30.1252;-91.83345
Patterson City Fire Meeting R,1306 Main St, Patterson, 7039, LA;29.680508;-91.294553
Patterson Fire Dep,1308 Main St, Patterson, 7039, LA;29.680508;-91.294553
Pearl River Fire Dep,37546 Pine Street Ext, Pearl River, 7045, LA;30.37535;-89.767961
Pecan Island Fire Dep,25600 W La Highway 82, Kaplan, 7054, LA;29.937614;-92.309
Pierre Part Volunteer Fir,101 S Bay Rd, Pierre Part, 7033, LA;29.9652;-91.20316
Pine Prairie Area Fire Dep,Edwin Elliott Dr, Pine Prairie, 7057, LA;30.776586;-92.422522
Pine Prairie Fire Dep,Highway 13, Pine Prairie, 7057, LA;30.783011;-92.428046
Pine Ridge Fire Dep,354 Three Pine Church Rd, De Ridder, 7063, LA;30.911977;-93.284407
Pineville Fire Chie,35 Purser St, Pineville, 7136, LA;31.331576;-92.419966
Pineville Fire Dep,35 Purser St, Pineville, 7136, LA;31.331576;-92.419966
Pitkin Volunteer Fire Dep,12778 Highway 10, Pitkin, 7065, LA;30.939647;-92.831616
Plain Dealing Fire Dep,205 W Palmetto Ave, Plain Dealing, 7106, LA;32.919215;-93.689292
Plainview Community Voluntee,172 Highway 112, Elizabeth, 7063, LA;30.899684;-92.789679
Plainview Fire Dep,10941 Highway 112, Elizabeth, 7063, LA;30.899684;-92.789679
Plainview Volunteer Fire Dep,10016 Highway 112, Glenmora, 7143, LA;31.105138;-92.636457
Plaquemine Fire Dep,58165 Meriam St, Plaquemine, 7076, LA;30.290675;-91.233758
Pointe Aux Chenes Fire Dep,1105 Highway 55, Montegut, 7037, LA;29.501096;-90.547575
Pointe Coupee Fire Distric,8874 La Highway 418, Innis, 7074, LA;30.888359;-91.669665
Ponchatoula Fire Dep,201 NW Railroad Ave, Ponchatoula, 7045, LA;30.438758;-90.441471
Port Barre Fire Dep,514 Saizan St, Port Barre, 7057, LA;30.5602;-91.95401
Port Sulphur Fire Dep,123 Civic Dr, Port Sulphur, 7008, LA;29.48049;-89.69395
Port Sulphur Vol Fire Dep,123 Civic Dr, Port Sulphur, 7008, LA;29.48049;-89.69395
Prairie Volunteer Fire Dep,7209 Highway 93, Sunset, 7058, LA;30.41131;-92.06845
Prairieville Fire Dep,17183 Highway 929, Prairieville, 7076, LA;30.298527;-90.960233
R C Milling Memorial Fire St,75174 Highway 1083, Covington, 7043, LA;30.45886;-90.156595
Rayne City O,101 3rd St, Rayne, 7057, LA;30.209507;-92.270885
Reserve Central Statio,105 Firehouse Ln, Reserve, 7008, LA;30.053549;-90.551574
Roanoke Jefferson Davis Fir,201 W South St, Welsh, 7059, LA;30.241414;-92.823631
Rocky Branch Crossroad Vf,11291 Highway 143, Farmerville, 7124, LA;32.714978;-92.218541
Rosedale Fire Dep,Highway 77, Rosedale, 7077, LA;30.458794;-91.478917
Rynella-Abbeville Hwy Fire De,5105 Avery Island Rd, New Iberia, 7056, LA;29.987963;-91.758563
Schriever Volunteer Fire Dep,1529 W Park Ave, Schriever, 7039, LA;29.74215;-90.81037
