;name;latitude;longitude;y;x
68;Fields Fire Towe,4697 Highway 109, De Quincy, 7063, LA;30.447136;-93.435693;3383864.247904;-10384349.484327
69;Fields Fire Towe,4697 Highway 109, Dequincy, 7063, LA;30.447136;-93.435693;3383864.247904;-10384349.484327
70;Fire Chief's Offic,200 Arkansas Ave, Bogalusa, 7042, LA;30.786566;-89.860683;3421588.158674;-9987026.447936999
71;Fire Department Of Morgan Cit,1307 Victor Ii Blvd, Morgan City, 7038, LA;29.66253;-91.12144;3296663.92167;-10127145.72016
72;Fire Department Ward ,2815 Foreman Rd, Vinton, 7066, LA;30.183259;-93.608139;3354537.222001;-10403514.960321
73;Fire Department,1306 Main St, Elton, 7053, LA;30.481385;-92.686703;3387670.647515;-10301107.484717
74;Fire department,PO Box 26, Jena, 7134, LA;31.108511;-92.727329;3457368.804029;-10305622.617731
75;Fire Dep,1357 S Union St, Opelousas, 7057, LA;30.53389;-92.080846;3393506.00071;-10233773.143593999
76;Fire Dep,62438 Commercial St, Roseland, 7045, LA;30.757321;-90.510989;3418337.8986190003;-10059300.806471
77;Fire District ,1007 S Spruce St, Vivian, 7108, LA;32.871071;-93.988616;3653257.959869;-10445800.793623999
78;Fire District No 1,115 Northpark Blvd, Covington, 7043, LA;30.4411;-90.09538;3383193.4129;-10013110.43782
79;Fire Distric,110 S Main St, Springhill, 7107, LA;33.002182;-93.461247;3667829.505298;-10387189.530333
80;Fire Inspectors Offic,225 Prairie Ave, New Iberia, 7056, LA;30.00354;-91.81873;3334563.43206;-10204641.83347
81;Fire Olla Voluntee,Highway 165, Olla, 7146, LA;31.901027;-92.229599;3545448.239753;-10250305.403260998
82;Fort Polk Fire Dep,2100 LA Ave Bldg 1736, Fort Polk, 7145, LA;31.603378;-91.536622;3512367.827542;-10173288.632458
83;Franklinton Fire Dep,803 Pearl St, Franklinton, 7043, LA;30.975657;-89.95433;3442603.5433230004;-9997434.28187
84;Franklinton Volunteer Fir,41280 Highway 10, Franklinton, 7043, LA;30.854067;-90.159585;3429090.152313;-10020246.117315
85;French Settlement Voluntee,15160 La Highway 16, French Settlemnt, 7073, LA;30.283163;-90.78688;3365640.4526569997;-10089963.05632
86;Galvez Lake Fire Station ,16573 Highway 931, Prairieville, 7076, LA;30.324905;-90.853882;3370279.616795;-10097409.591598
87;Garyville Fire Dep,418 Historic West St, Garyville, 7005, LA;29.93462;-90.364235;3326903.73218;-10042990.713665
88;Geismar Fire Dep,12171 Highway 73, Geismar, 7073, LA;30.222275;-91.003849;3358873.421225;-10114076.774011001
89;Gibson East Fire Dep,116 Moss St, Gibson, 7035, LA;29.394138;-90.270125;3266835.103182;-10032531.422375
90;Gibson Fire Dep,116 Moss St, Gibson, 7035, LA;29.394138;-90.270125;3266835.103182;-10032531.422375
91;Golden Meadow Volunteer Fir,17462 W Main St, Cut Off, 7034, LA;29.56719;-90.371528;3286067.92941;-10043801.250392
92;Golden Meadow Volunteer Fir,17462 W Main St, Galliano, 7035, LA;29.56719;-90.371528;3286067.92941;-10043801.250392
93;Gonzales Fire Dep,325 E Caldwell St, Gonzales, 7073, LA;30.235809;-90.917709;3360377.576451;-10104503.260551
94;Goodbee Fire Dep,13053 Highway 190, Covington, 7043, LA;30.475434;-90.100749;3387009.2593259998;-10013707.143111
95;Goodbee Fire Distric,13027 Highway 190, Covington, 7043, LA;30.475434;-90.100749;3387009.2593259998;-10013707.143111
96;Gordon Fire Towe,4336 Edgerly Rd, De Quincy, 7063, LA;30.447136;-93.435693;3383864.247904;-10384349.484327
97;Gordon Fire Towe,4336 Edgerly Rd, Dequincy, 7063, LA;30.447136;-93.435693;3383864.247904;-10384349.484327
98;Gould Volunteer Fire C,700 Gretna Blvd, Gretna, 7005, LA;29.911243;-90.044868;3324305.635777;-10007496.584652
99;Gramercy Volunteer Fire Dep,407 River Rd, Gramercy, 7005, LA;30.076045;-90.528281;3342621.5652550003;-10061222.622059
