;name;latitude;longitude;y;x
98;Gould Volunteer Fire C,700 Gretna Blvd, Gretna, 7005, LA;29.911243;-90.044868;3329719.57076;-8688571.016682392
99;Gramercy Volunteer Fire Dep,407 River Rd, Gramercy, 7005, LA;30.076045;-90.528281;3348065.3294;-8720725.858651532
100;Grand Caillou Volunteer Fir,4717 Grand Caillou Rd, Houma, 7036, LA;29.621931;-90.751815;3297513.35892;-8782111.107509458
101;Grand Caillou Volunteer Fir,6974 Grand Caillou Rd, Dulac, 7035, LA;29.42052;-90.699389;3275092.2864;-8794526.560747625
102;Grand Chenier Fire Dep,4011 Grand Chenier Hwy, Grand Chenier, 7064, LA;29.42052;-90.699389;3275092.2864;-8794526.560747625
103;Grand Coteau Fire Dep,442 E Martin Luther King Dr, Sunset, 7058, LA;30.407289;-92.069705;3384939.41148;-8839370.73005405
104;Greensburg Fire Dep,Highway 37, Greensburg, 7044, LA;30.821154;-90.667471;3431010.86328;-8667618.655647462
105;Greensburg Volunteer Fire Dep,13775 Highway 37, Greensburg, 7044, LA;30.821154;-90.667471;3431010.86328;-8667618.655647462
106;Gretna City Fire Dep,501 Anson St, Gretna, 7005, LA;29.909446;-90.045028;3329519.52872;-8688743.2195825
107;Gueydan Fire Chief's Offic,414 Main St, Gueydan, 7054, LA;30.025761;-92.509352;3342467.71452;-8916091.279760264
108;Hammond Fire Dep,405 S Oak St, Hammond, 7040, LA;30.502819;-90.462012;3395573.81108;-8676510.054769143
109;Hammond Fire Prevention Burea,2975 E Thomas St, Hammond, 7040, LA;30.438551;-90.538781;3388419.49732;-8689606.055053366
110;Henderson Nina Fire Statio,1008 Nina Hwy, Henderson, 7051, LA;30.280659;-91.907344;3370842.95988;-8835206.134524077
111;Hillsdale Fire Dep,3313 Highway 1045, Amite, 7042, LA;30.729758;-90.564646;3420836.66056;-8666017.447708352
112;Hornbeck Fire Towe,168 Powell Rd, Hornbeck, 7143, LA;31.080221;-93.256116;3459850.2017200002;-8890946.71242496
113;Houma Fire Dep,600 Wood St, Houma, 7036, LA;29.606641;-90.72659;3295811.27612;-8781001.92291836
114;Husser Fire Dep,56292 Highway 445, Husser, 7044, LA;30.692929;-90.350686;3416736.85628;-8648845.65343201
115;Iberia Parish Fire Protectio,2309 Avery Island Rd, New Iberia, 7056, LA;30.00354;-91.81873;3339994.0728;-8851511.754977398
116;Independence Fire Dep,113 Calhoun St, Independence, 7044, LA;30.6351;-90.49816;3410299.332;-8668148.33249395
117;Independence Fire Station ,100 Calhoum St, Independence, 7044, LA;30.449387;-90.178334;3389625.76084;-8654049.589435948
118;Indian Bayou Community Fir,4723 La Highway 700, Kaplan, 7054, LA;30.449387;-90.178334;3389625.76084;-8654049.589435948
119;Innis Fire Dep,8874 La Highway 418, Innis, 7074, LA;30.888359;-91.669665;3438492.1238800003;-8757287.570313882
120;Iota Fire Departmen,210 S 1st St, Iota, 7054, LA;30.332884;-92.496298;3376656.64688;-8887087.130261304
121;Iota Fire Dep,116 Duson Ave, Iota, 7054, LA;30.330478;-92.493428;3376388.81096;-8887029.727993242
122;Ivan Fire District ,16038 3 Highway 157, Plain Dealing, 7106, LA;32.814484;-93.628974;3652908.35888;-8759567.291933762
123;Jamestown Fire Dep,PO Box 5128, Jamestown, 7104, LA;32.997543;-93.466552;3673286.48676;-8726312.230669249
124;Jeanerette City Office,1437 Main St, Jeanerette, 7054, LA;29.888489;-91.613967;3327186.59548;-8841994.775184926
125;Jeanerette Fire Dep,1436 Church St, Jeanerette, 7054, LA;29.910172;-91.664228;3329600.34704;-8844920.723034386
126;Jeff Davis Fire Dep,5396 Pine Island Hwy, Jennings, 7054, LA;30.221729;-92.652679;3364282.87228;-8912200.769739872
127;Jena Fire Dep,Highway 84, Jena, 7134, LA;31.60603;-92.140733;3518383.2596;-8735644.501573106
128;Kaplan Fire Dep,501 N Cushing Ave, Kaplan, 7054, LA;29.99839;-92.2854;3339420.7748000002;-8896961.401400562
129;Kinder Fire Dep,808 2nd Ave, Kinder, 7064, LA;30.474399;-92.843183;3392410.09668;-8907497.0485044
130;La Place Volunteer Fire Dep,521 Hemlock St, LaPlace, 7006, LA;30.061011;-90.498458;3346391.74452;-8719177.404936075
131;Labadieville Volunteer Fir,2709 Highway 1, Labadieville, 7037, LA;29.835856;-90.955903;3321327.48992;-8783113.835079538
132;Lacombe Fire Dep,60267 S 8th St, Lacombe, 7044, LA;30.310897;-89.939173;3374209.05404;-8643337.065221041
133;Lafayette Fire Chie,300 E Vermilion St, Lafayette, 7050, LA;30.230542;-92.020811;3365263.93544;-8850628.597205648
134;Lafayette Fire Communication,300 E Vermilion St, Lafayette, 7050, LA;30.231986;-92.020828;3365424.68152;-8850500.247096054
135;Lafayette Fire Dep,300 E Vermilion St, Lafayette, 7050, LA;30.231986;-92.020828;3365424.68152;-8850500.247096054
136;Lafayette Fire Preventio,142 Park Ave, Lafayette, 7050, LA;30.230583;-92.007809;3365268.49956;-8849374.365264306
137;Lafayette Fire Training Ct,1307 Bertrand Dr, Lafayette, 7050, LA;30.230583;-92.007809;3365268.49956;-8849374.365264306
138;Lafitte-Barataria Vol Fir,Highway 45 #493, Lafitte, 7006, LA;29.672922;-90.106215;3303189.67704;-8715220.230854897
139;Lafourche Crossing 308 Fir,691 Highway 308, Thibodaux, 7030, LA;29.79576;-90.82287;3316864.0032;-8773785.498307707
140;Lafourche Fire District 1 Vol,102 Saint Philip St, Raceland, 7039, LA;29.693939;-90.575492;3305529.28948;-8758777.926036332
141;Lafourche Fire Distric,N Leon Dr, Lockport, 7037, LA;29.64605;-90.53925;3300198.286;-8759443.21048078
142;Lake Cove Fire Dep,Lake Cove Community NW, Turkey Creek, 7058, LA;30.917099;-92.451831;3441691.46068;-8829357.298683606
143;Larose Volunteer Fire Dep,17462 W Main St, Cut Off, 7034, LA;29.56719;-90.371528;3291419.5908;-8750057.2375122
144;Larose Volunteer Fire Dep,17462 W Main St, Galliano, 7035, LA;29.45453;-90.30609;3278878.2796;-8753458.193986062
145;Lawtell Fire Dep,Airport Rd, Opelousas, 7057, LA;30.537181;-92.083495;3399398.98892;-8828909.826136218
146;Le Bleu Settlement Fire Dep,6443 Highway 3059, Lake Charles, 7061, LA;30.276018;-93.129939;3370326.32376;-8953159.631446773
147;Lee Road Volunteer Fire Dep,79029 Highway 437, Covington, 7043, LA;30.484321;-90.096018;3393514.6137200003;-8643049.46599811
148;Leesville City Fire Dep,101 W Lee St, Leesville, 7144, LA;31.222614;-93.21705;3475701.39048;-8873881.577112325
149;Leleux Fire Statio,5801 Highway 13, Crowley, 7052, LA;30.22119;-92.378804;3364222.8708;-8885905.605941262
150;Leonville Volunteer Fire Dep,3726 Highway 31, Leonville, 7055, LA;30.465988;-91.951062;3391473.78416;-8822667.75679421
151;Little Caillou Fire Dep,4588 Highway 56, Chauvin, 7034, LA;29.533904;-90.610511;3287714.19328;-8776086.36795003
152;Little Chapel Volunteer Fir,13007 La Highway 3093, Kaplan, 7054, LA;30.042855;-92.183265;3344370.6186;-8883130.501628302
153;Livingston Parish Fire Prtct,29778 S Montpelier Rd, Albany, 7071, LA;30.49934;-90.582669;3395186.5288;-8688393.429754237
154;Livonia Fire Dep,3496 La Highway 78, Livonia, 7075, LA;30.55908;-91.55594;3401836.7856;-8776348.255399592
155;Lockport Volunteer Fire Dep,806 Crescent Ave, Lockport, 7037, LA;29.64605;-90.53925;3300198.286;-8759443.21048078
156;Loranger Volunteer Fire Dep,20032 Firehouse Rd, Loranger, 7044, LA;30.631361;-90.40759;3409883.10652;-8659807.950576376
157;Loreauville Volunteer Fir,119 Bridge, Loreauville, 7055, LA;30.008963;-91.737329;3340597.76116;-8843181.156318942
158;Lowery Fire Statio,460 Lowry Hwy, Lake Arthur, 7054, LA;30.08076;-92.67153;3348590.2032000003;-8926762.792544652
159;Luling Volunteer Fire Dep,67 Saint Anthony St, Luling, 7007, LA;29.93462;-90.364235;3332321.8984;-8717339.899231495
160;Lydia Volunteer Fire Dep,7209 Weeks Island Rd, New Iberia, 7056, LA;30.00354;-91.81873;3339994.0728;-8851511.754977398
161;Lyons Point Fire Departmen,2014 S La Hwy 13, Crowley, 7052, LA;30.212297;-92.3632;3363232.90204;-8885207.8131821
162;Madisonville Fire Dep,402 Cedar St, Madisonville, 7044, LA;30.406279;-90.159109;3384826.97828;-8656028.968728254
163;Mamou Fire Dep,121 Main St, Mamou, 7055, LA;30.630097;-92.423073;3409742.39804;-8852979.240629504
164;Mandeville Fire Dep,3101 E Causeway Approach, Mandeville, 7044, LA;30.381477;-90.099643;3382066.01964;-8652516.373423014
165;Mansura Fire Dep,1832 Leglise St, Mansura, 7135, LA;31.068576;-92.050786;3458553.88032;-8777106.690365653
166;Maringouin Fire Dep,10660 2nd St, Maringouin, 7075, LA;30.527159;-91.525086;3398283.3398800003;-8776275.277617846
167;Marion Fire Dep,398 Main St, Marion, 7126, LA;32.905889;-92.231759;3663083.56348;-8619961.891857054
168;Marlow Volunteer Fire Dep,118 Marlow Rd, Pitkin, 7065, LA;30.961192;-93.112287;3446599.8934400002;-8888331.27200643
